id,ürün,tahmin fiyat,ürün fiyatı,1_fiyat,2_fiyat,3_fiyat
190,Buğday ekmeği,3.2893326,3.36,3.22,3.05,2.87
191,Bulgur,6.922667,6.96,6.62,6.25,6.05
192,Erişte,15.321816,15.26,14.86,14.25,13.38
193,Makarna,6.845136,6.81,6.65,6.26,6.03
194,Mısır,8.425595,8.39,8.12,7.64,7.23
195,Mısır unu,53.54364,53.03,50.83,47.7,45.3
196,Nişasta,21.37717,21.37,20.43,19.3,18.15
197,Pilav,16.982706,17.02,16.23,15.41,14.49
198,Pirinç unu,25.831594,25.97,24.6,23.26,22.27
199,Şehriye,28.21631,28.08,27.09,25.31,24.41
200,Tarhana,15.748728,15.64,15.1,14.4,13.75
201,Yulaf unu,53.955273,53.93,51.16,47.7,45.8
202,yumurta,31.421118,31.43,30.52,29.26,27.45
203,beyaz peynir,66.05847,67.4,64.53,61.81,58.57
204,Kaşar peyniri,58.735367,58.74,55.73,53.26,50.67
205,krema,34.55898,34.49,33.22,31.64,29.88
206,yoğurt,51.79203,52.04,50.26,47.53,44.86
207,sucuk,65.52188,65.39,63.0,60.46,57.18
208,salam,52.646378,52.95,49.77,47.24,44.79
209,sosis,49.27996,48.73,46.38,43.49,41.89
210,tam buğday ekmek,17.618715,17.62,16.79,16.13,15.35
211,kaymak,66.09375,65.57,63.03,59.89,57.91
212,bal,103.634735,103.8,99.35,94.53,90.93
213,tereyağ,83.03602,78.39,75.5,71.86,68.71
214,Armut,17.471054,17.38,16.53,15.57,14.76
215,Çilek,21.13031,21.16,20.42,19.7,18.81
216,Elma,24.615908,24.65,23.47,22.13,21.11
217,Erik türleri,27.370913,27.26,26.44,25.02,23.3
218,İncir,16.356472,16.33,15.48,14.39,13.78
219,Karadut,21.542908,21.47,20.52,19.52,18.49
220,Karpuz,26.469322,26.42,25.27,24.22,23.29
221,Kavun,29.88003,29.9,28.67,27.33,25.54
222,Kayısı,16.508179,16.53,15.81,14.92,14.07
223,Kiraz,20.067942,20.0,19.44,18.63,17.79
224,Limon,11.683818,11.75,11.2,10.69,10.23
225,Mandalina,14.073524,14.13,13.36,12.7,12.01
226,Muz,38.156063,38.06,36.34,34.66,32.54
227,Nar,32.07011,32.17,30.61,29.22,27.61
228,Portakal,15.26604,15.27,14.6,13.74,13.15
229,Şeftali,21.23141,21.16,20.19,19.23,18.29
230,Üzüm,21.509779,21.5,20.67,19.22,18.56
231,Vişne,17.287558,17.16,16.66,15.69,15.02
232,fındık,56.865246,56.85,55.64,53.25,50.6
233,fıstık,59.481842,59.67,58.17,55.02,52.56
234,kaju,75.1128,75.87,73.36,68.67,65.46
235,badem,70.353676,69.73,66.2,61.76,59.21
236,ceviz,83.03399,82.66,79.79,75.26,70.35
237,kıyma,127.611145,135.5,130.46,124.17,117.91
238,tavuk,44.00844,43.69,42.7,41.59,39.21
239,hindi,47.403103,47.3,45.36,42.61,40.29
240,Bakla-kuru,29.997711,29.91,28.95,27.5,25.86
241,Bakla-taze,58.699757,59.25,56.54,54.95,52.85
242,Bamya,19.431679,19.39,18.47,17.47,16.73
243,Barbunya-kuru,24.747744,24.64,23.67,22.62,21.34
244,Bezelye-taze,54.98254,55.3,53.72,51.24,49.25
245,Biber-yeşil,45.177917,45.34,43.42,40.97,39.13
246,Brüksel laha.,100.364204,101.82,97.7,91.32,87.62
247,Domates,19.309584,19.3,18.44,17.15,16.37
248,Enginar,43.514038,43.69,41.58,39.38,37.47
249,Fasulye-kuru,38.223194,38.18,35.67,33.28,31.58
250,Fasulye-taze,38.455265,38.47,37.23,35.0,33.52
251,Havuç,31.766525,31.96,30.81,29.0,27.64
252,Salatalık,17.943863,17.96,17.6,16.88,16.02
253,Ispanak,53.44759,53.84,51.12,48.13,45.53
254,Kabak,32.168163,31.98,30.98,29.21,27.75
255,Karnabahar,32.008736,31.94,30.82,28.66,27.64
256,Kereviz-baş,29.320057,29.18,27.9,26.14,25.24
257,Kırmızı-pancar,24.764019,24.66,23.6,22.76,21.57
258,Lahana,30.925446,30.77,29.26,27.99,26.34
259,Mantar,58.02326,57.79,55.18,51.71,49.55
260,Marul,30.630083,30.76,29.5,28.13,26.12
261,Mercimek-kuru,22.113264,22.0,21.08,19.81,18.95
262,Nohut,19.40103,19.42,18.71,17.96,17.2
263,Pancar,32.283554,32.44,30.63,28.91,27.57
264,Patates,12.229345,12.26,11.58,11.23,10.82
265,Patlıcan,32.67024,32.51,31.69,30.44,28.95
266,Pazı,8.56215,8.6,8.22,8.0,7.56
267,Pırasa,12.250021,12.23,11.82,11.33,10.7
268,Semizotu,10.551682,10.66,10.09,9.5,9.15
269,Buğday ekmeği,2.9718826,2.98,2.85,2.69,2.59
270,Bulgur,6.401153,6.44,6.1,5.73,5.46
271,Erişte,15.533058,15.59,14.82,14.14,13.37
272,Makarna,6.014437,6.0,5.8,5.49,5.19
273,Mısır,8.159377,8.18,7.79,7.44,7.05
274,Mısır unu,47.27184,47.55,45.69,44.12,41.89
275,Nişasta,20.592562,20.56,19.63,18.25,17.29
276,Pilav,17.169142,17.15,16.29,15.64,14.89
277,Pirinç unu,30.090307,29.97,28.92,27.19,25.88
278,Şehriye,27.08038,27.12,25.9,24.69,23.59
279,Tarhana,13.993304,13.92,13.43,12.81,12.12
280,Yulaf unu,47.684288,47.53,45.1,42.48,40.59
281,yumurta,34.450848,34.22,32.63,30.99,29.73
282,beyaz peynir,68.299126,69.67,65.43,62.03,59.0
283,Kaşar peyniri,74.6378,77.49,72.32,69.28,65.85
284,krema,34.948013,35.08,33.4,31.51,29.87
285,yoğurt,51.93844,51.92,49.85,47.32,44.57
286,sucuk,59.771584,59.36,57.5,54.6,51.43
287,salam,58.365894,58.58,55.92,52.3,49.71
288,sosis,51.054585,51.59,48.67,46.18,43.88
289,tam buğday ekmek,17.053593,17.09,16.41,15.56,14.77
290,kaymak,69.36317,69.48,67.34,64.64,61.57
291,bal,101.99146,103.03,98.01,93.7,89.66
292,tereyağ,70.1755,69.17,66.67,63.71,59.71
293,Armut,17.883642,17.88,17.08,16.25,15.5
294,Çilek,19.992634,19.92,19.3,18.47,17.54
295,Elma,24.569849,24.68,23.31,22.7,21.8
296,Erik türleri,29.861164,29.8,28.27,26.65,25.07
297,İncir,17.653275,17.55,17.28,16.53,15.8
298,Karadut,21.823322,21.72,21.14,20.15,19.1
299,Karpuz,25.80913,25.81,24.48,22.96,22.03
300,Kavun,28.21224,28.27,27.12,26.16,24.51
301,Kayısı,18.799528,18.82,17.78,17.15,16.08
302,Kiraz,23.94932,23.92,22.88,21.4,20.18
303,Limon,10.806159,10.75,10.42,9.77,9.32
304,Mandalina,11.471896,11.44,11.0,10.4,9.98
305,Muz,34.295715,34.02,32.55,30.5,28.95
306,Nar,33.43854,33.44,32.36,30.77,29.21
307,Portakal,16.656492,16.7,15.97,15.2,14.44
308,Şeftali,20.436777,20.41,19.56,18.63,17.73
309,Üzüm,21.207893,21.12,20.19,18.95,18.08
310,Vişne,17.414703,17.34,16.76,16.06,15.18
311,fındık,65.87313,65.0,62.32,58.67,55.35
312,fıstık,61.141647,61.21,59.06,56.73,54.18
313,kaju,71.565315,72.0,68.11,63.71,60.46
314,badem,71.100334,69.74,66.47,61.8,57.88
315,ceviz,72.96719,72.73,70.45,67.54,64.1
316,kıyma,123.46185,147.28,140.33,135.27,130.59
317,tavuk,48.116604,47.89,46.38,43.99,41.68
318,hindi,48.505978,48.3,46.3,44.03,42.09
319,Bakla-kuru,31.977816,32.19,30.8,29.59,28.12
320,Bakla-taze,56.13185,56.08,53.44,50.99,48.45
321,Bamya,20.842318,20.73,19.82,18.94,17.98
322,Barbunya-kuru,24.98536,24.93,24.27,23.51,22.33
323,Bezelye-taze,46.859352,46.85,44.18,43.09,41.66
324,Biber-yeşil,46.135696,46.29,44.41,43.25,40.99
325,Brüksel laha.,88.02365,88.7,84.85,80.28,76.15
326,Domates,17.929445,17.83,17.13,16.14,15.36
327,Enginar,42.613605,42.57,41.3,39.28,37.44
328,Fasulye-kuru,40.27786,39.71,38.14,35.58,33.36
329,Fasulye-taze,40.50286,40.83,38.7,36.68,34.77
330,Havuç,31.668592,31.71,30.72,29.28,27.95
331,Salatalık,17.659924,17.64,16.83,15.83,15.18
332,Ispanak,50.784935,51.07,48.5,45.61,43.6
333,Kabak,35.752262,35.48,34.24,32.3,30.67
334,Karnabahar,33.36412,33.32,31.89,30.09,29.06
335,Kereviz-baş,26.522995,26.58,25.39,24.02,22.91
336,Kırmızı-pancar,24.544939,24.48,23.46,22.18,20.99
337,Lahana,30.375965,30.42,29.1,27.72,26.56
338,Mantar,53.733208,53.63,52.04,49.2,47.35
339,Marul,25.651068,25.71,24.46,23.26,21.87
340,Mercimek-kuru,21.538685,21.61,20.86,20.09,19.13
341,Nohut,21.036783,21.04,20.14,19.25,18.16
342,Pancar,26.007248,26.01,24.98,23.97,22.36
343,Patates,13.213421,13.23,12.62,11.87,11.4
344,Patlıcan,35.53358,35.3,34.31,32.01,30.22
345,Pazı,8.666693,8.66,8.37,7.9,7.57
346,Pırasa,13.894082,13.94,13.25,12.62,12.08
347,Semizotu,10.715865,10.71,10.36,9.79,9.3
348,Buğday ekmeği,3.5410733,3.55,3.46,3.25,3.11
349,Bulgur,6.6595592,6.66,6.43,6.13,5.82
350,Erişte,13.927016,13.92,13.25,12.8,12.2
351,Makarna,5.7960844,5.78,5.55,5.26,5.02
352,Mısır,7.7223077,7.66,7.37,6.9,6.66
353,Mısır unu,48.06497,48.09,45.14,43.12,41.11
354,Nişasta,21.362055,21.45,20.23,19.33,18.42
355,Pilav,17.223097,17.21,16.33,15.34,14.53
356,Pirinç unu,29.492907,29.33,27.86,26.47,25.0
357,Şehriye,27.29287,27.2,26.05,25.14,23.89
358,Tarhana,14.021256,14.01,13.62,13.0,12.66
359,Yulaf unu,52.92803,52.78,50.69,47.73,45.62
360,yumurta,28.806593,28.87,27.76,26.8,25.14
361,beyaz peynir,55.602745,54.92,52.45,49.34,46.85
362,Kaşar peyniri,63.47465,63.01,60.68,57.35,53.69
363,krema,33.838062,33.99,32.44,31.03,29.57
364,yoğurt,51.334564,51.54,48.31,45.71,43.42
365,sucuk,65.448296,65.63,63.43,60.25,58.13
366,salam,53.90996,54.05,51.41,48.96,47.0
367,sosis,52.411655,52.07,49.14,47.2,45.17
368,tam buğday ekmek,18.647318,18.54,17.97,16.99,16.16
369,kaymak,60.923317,60.87,58.62,56.52,54.53
370,bal,97.669556,102.1,98.82,95.77,91.25
371,tereyağ,97.58839,89.72,87.14,81.66,76.4
372,Armut,17.984415,17.94,17.28,16.42,15.73
373,Çilek,22.337982,22.34,21.41,20.42,19.36
374,Elma,24.402779,24.25,23.42,22.23,21.12
375,Erik türleri,29.999388,30.12,28.74,27.61,25.71
376,İncir,14.672612,14.7,13.98,13.38,12.74
377,Karadut,20.73845,20.56,20.01,18.99,17.68
378,Karpuz,27.357983,27.35,26.14,24.99,23.98
379,Kavun,27.681719,27.71,26.81,26.12,24.81
380,Kayısı,15.165632,15.09,14.41,13.71,13.04
381,Kiraz,21.84919,21.9,20.82,19.35,18.59
382,Limon,11.927269,11.83,11.5,10.79,10.29
383,Mandalina,12.220999,12.19,11.71,11.02,10.5
384,Muz,33.457127,33.42,32.33,30.96,29.48
385,Nar,31.30719,31.29,29.81,28.28,27.39
386,Portakal,19.979727,20.02,18.9,17.73,16.85
387,Şeftali,16.64809,16.68,16.03,15.24,14.51
388,Üzüm,21.849087,21.85,20.86,19.74,18.89
389,Vişne,15.671574,15.67,15.17,14.53,13.71
390,fındık,55.77524,55.21,53.19,50.02,47.24
391,fıstık,67.41045,68.53,64.87,62.1,59.76
392,kaju,64.09994,64.02,61.36,58.54,56.04
393,badem,63.153843,61.95,60.32,56.67,53.56
394,ceviz,80.3706,78.97,75.27,70.76,68.24
395,kıyma,129.12778,133.17,127.53,122.65,116.62
396,tavuk,42.36472,42.23,40.41,39.05,36.98
397,hindi,49.74667,49.72,46.52,44.73,43.01
398,Bakla-kuru,28.21926,28.14,26.9,25.91,24.12
399,Bakla-taze,52.63124,52.84,50.22,47.4,45.81
400,Bamya,21.66421,21.54,20.51,19.32,18.63
401,Barbunya-kuru,27.153276,27.12,26.22,24.72,23.52
402,Bezelye-taze,46.415867,46.06,44.21,41.5,39.55
403,Biber-yeşil,49.58246,49.38,46.61,44.17,41.74
404,Brüksel laha.,102.23082,102.46,98.61,93.94,89.16
405,Domates,20.707443,20.62,19.66,18.43,17.6
406,Enginar,47.830544,48.06,45.69,43.4,40.95
407,Fasulye-kuru,36.563904,36.65,34.88,32.51,31.0
408,Fasulye-taze,35.226532,35.29,34.38,33.16,30.96
409,Havuç,37.966927,37.99,36.46,35.22,34.2
410,Salatalık,17.169163,17.08,16.48,15.5,14.56
411,Ispanak,50.240692,50.71,48.68,46.19,43.68
412,Kabak,34.761036,34.59,33.08,31.58,30.3
413,Karnabahar,34.209465,34.26,32.91,31.37,29.81
414,Kereviz-baş,23.00776,22.99,22.48,21.65,20.56
415,Kırmızı-pancar,25.217876,25.08,24.24,22.41,21.19
416,Lahana,27.81656,27.65,26.61,25.28,24.05
417,Mantar,61.018955,60.9,57.56,53.65,50.79
418,Marul,27.124748,27.04,25.77,24.57,23.63
419,Mercimek-kuru,21.25605,21.11,20.37,19.19,18.41
420,Nohut,18.6387,18.53,17.8,16.62,15.92
421,Pancar,25.152712,25.24,24.38,23.46,22.1
422,Patates,13.770447,13.74,13.13,12.46,11.89
423,Patlıcan,31.184616,31.1,30.18,28.65,27.59
424,Pazı,8.837512,8.82,8.49,8.12,7.84
425,Pırasa,11.287128,11.24,10.82,10.35,9.87
426,Semizotu,10.704587,10.68,10.3,9.83,9.31
427,Buğday ekmeği,3.2849689,3.29,3.15,3.01,2.85
428,Bulgur,7.081136,7.09,6.83,6.55,6.19
429,Erişte,14.297065,14.29,13.72,12.96,12.28
430,Makarna,6.581009,6.56,6.31,5.95,5.74
431,Mısır,8.671887,8.69,8.39,7.92,7.49
432,Mısır unu,51.340397,50.67,48.76,45.86,43.17
433,Nişasta,22.23572,22.27,21.58,20.83,19.7
434,Pilav,17.05361,16.96,16.44,15.64,15.07
435,Pirinç unu,32.2362,32.09,30.91,29.42,27.97
436,Şehriye,25.832136,25.78,24.98,23.9,22.85
437,Tarhana,15.401307,15.4,14.64,13.87,13.31
438,Yulaf unu,57.047005,56.96,55.24,52.72,49.67
439,yumurta,32.155235,32.14,31.08,29.51,28.19
440,beyaz peynir,70.518555,70.73,67.42,64.15,60.71
441,Kaşar peyniri,78.6979,78.41,73.65,68.76,65.02
442,krema,35.888294,35.66,34.14,32.46,31.01
443,yoğurt,55.7053,56.26,54.04,52.32,48.81
444,sucuk,67.90757,68.33,65.62,62.61,60.52
445,salam,51.145805,51.31,49.55,47.05,44.23
446,sosis,45.264496,45.46,43.63,40.92,39.1
447,tam buğday ekmek,17.487469,17.48,16.8,16.11,14.87
448,kaymak,66.19487,66.53,63.24,60.38,57.88
449,bal,104.59981,113.19,107.71,101.96,96.95
450,tereyağ,72.01208,70.64,68.5,64.73,61.74
451,Armut,17.457596,17.41,16.54,15.62,14.74
452,Çilek,18.477114,18.39,17.73,16.52,15.76
453,Elma,26.060915,26.16,24.66,23.5,22.15
454,Erik türleri,27.853733,27.83,26.83,25.34,24.14
455,İncir,17.68725,17.72,16.98,16.18,15.26
456,Karadut,22.907972,22.82,21.71,20.59,19.63
457,Karpuz,25.52962,25.45,24.47,23.48,22.25
458,Kavun,30.128563,30.14,29.13,27.3,25.54
459,Kayısı,18.882597,19.05,17.87,16.9,16.11
460,Kiraz,21.700817,21.63,20.96,20.05,19.0
461,Limon,12.265588,12.24,11.94,11.4,10.86
462,Mandalina,12.603897,12.58,12.07,11.57,10.99
463,Muz,35.700844,35.55,34.23,32.64,30.87
464,Nar,37.38338,37.4,35.43,33.6,32.17
465,Portakal,15.728113,15.74,15.07,14.46,13.73
466,Şeftali,21.187056,21.17,20.28,19.03,18.08
467,Üzüm,20.092237,20.1,19.1,17.94,16.93
468,Vişne,16.721413,16.66,15.97,15.05,14.26
469,fındık,57.874928,57.9,55.87,53.19,51.34
470,fıstık,64.38605,64.49,62.31,59.6,56.49
471,kaju,61.445076,62.55,59.66,57.9,56.01
472,badem,59.063923,58.57,57.25,54.38,52.02
473,ceviz,71.81204,72.79,69.03,65.76,62.62
474,kıyma,127.75477,130.65,122.83,116.85,111.07
475,tavuk,47.81647,47.72,46.46,44.39,42.03
476,hindi,50.86414,50.32,47.52,45.03,42.47
477,Bakla-kuru,31.138283,31.1,29.79,28.46,27.32
478,Bakla-taze,55.72054,55.75,53.48,50.89,48.91
479,Bamya,17.257723,17.31,16.31,15.54,14.95
